iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"04-Jan-2017"
Total Net Assets,"$12,341,083,001"
Shares Outstanding,"271,000,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"APH","AMPHENOL CORP CLASS A","Equity","0.1425","67.93","258,308","$17,546,862","17,546,862.44","Information Technology","2145084","US0320951017","New York Stock Exchange Inc."
"ZBH","ZIMMER BIOMET HOLDINGS INC","Equity","0.1382","104.28","163,280","$17,026,838","17,026,838.40","Health Care","2783815","US98956P1021","New York Stock Exchange Inc."
"USD","USD CASH","Cash","0.1382","100.00","17,018,753","$17,018,753","17,018,752.63","Cash and/or Derivatives","-","-","-"
"RAI","REYNOLDS AMERICAN INC","Equity","0.1367","55.43","303,853","$16,842,572","16,842,571.79","Consumer Staples","2429090","US7617131062","New York Stock Exchange Inc."
"SHW","SHERWIN WILLIAMS","Equity","0.1228","276.40","54,735","$15,128,754","15,128,754.00","Materials","2804211","US8243481061","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.1219","79.75","188,328","$15,019,158","15,019,158.00","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","0.1214","106.34","140,591","$14,950,447","14,950,446.94","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.1189","1.00","14,648,088","$14,648,088","14,648,088.17","Cash and/or Derivatives","-","US0669224778","-"
"VNTV","VANTIV INC CLASS A","Equity","0.1161","61.58","232,213","$14,299,677","14,299,676.54","Information Technology","B6X55Y2","US92210H1059","New York Stock Exchange Inc."
"UHS","UNIVERSAL HEALTH SERVICES INC CLAS","Equity","0.1138","108.81","128,859","$14,021,148","14,021,147.79","Health Care","2923785","US9139031002","New York Stock Exchange Inc."
"WCN","WASTE CONNECTIONS INC","Equity","0.1134","80.38","173,730","$13,964,417","13,964,417.40","Industrials","BYVG1F6","CA94106B1013","New York Stock Exchange Inc."
"HSY","HERSHEY FOODS","Equity","0.1107","104.12","130,906","$13,629,933","13,629,932.72","Consumer Staples","2422806","US4278661081","New York Stock Exchange Inc."
"INTU","INTUIT INC","Equity","0.1100","114.98","117,798","$13,544,414","13,544,414.04","Information Technology","2459020","US4612021034","NASDAQ"
"WFC","WELLS FARGO","Equity","0.1061","56.05","233,275","$13,075,064","13,075,063.75","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"LLTC","LINEAR TECHNOLOGY CORP","Equity","0.1019","62.23","201,627","$12,547,248","12,547,248.21","Information Technology","2516839","US5356781063","NASDAQ"
"Q","QUINTILES IMS INC","Equity","0.0756","77.28","120,480","$9,310,694","9,310,694.40","Health Care","B7VM917","US74876Y1010","New York Stock Exchange Inc."
"VAL","VALSPAR CORP.","Equity","0.0738","104.13","87,264","$9,086,800","9,086,800.32","Materials","2926739","US9203551042","New York Stock Exchange Inc."
"EXR","EXTRA SPACE STORAGE INC.","Equity","0.0731","77.46","116,234","$9,003,486","9,003,485.64","Real Estate","B02HWR9","US30225T1025","New York Stock Exchange Inc."
"CPT","CAMDEN PROPERTY TRUST REIT","Equity","0.0730","85.28","105,373","$8,986,209","8,986,209.44","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"FL","FOOT LOCKER INC","Equity","0.0714","73.00","120,478","$8,794,894","8,794,894.00","Consumer Discretionary","2980906","US3448491049","New York Stock Exchange Inc."
"EFX","EQUIFAX INC","Equity","0.0713","119.34","73,580","$8,781,037","8,781,037.20","Industrials","2319146","US2944291051","New York Stock Exchange Inc."
"BXP","BOSTON PROPERTIES REIT INC","Equity","0.0700","131.22","65,725","$8,624,435","8,624,434.50","Real Estate","2019479","US1011211018","New York Stock Exchange Inc."
"SJM","JM SMUCKER","Equity","0.0689","128.53","66,011","$8,484,394","8,484,393.83","Consumer Staples","2951452","US8326964058","New York Stock Exchange Inc."
"VMW","VMWARE INC CLASS A","Equity","0.0658","79.49","101,928","$8,102,257","8,102,256.72","Information Technology","B23SN61","US9285634021","New York Stock Exchange Inc."
"AGN","ALLERGAN","Equity","0.0569","215.56","32,532","$7,012,598","7,012,597.92","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","0.0535","35.85","183,645","$6,583,673","6,583,673.25","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"NNN","NATIONAL RETAIL PROPERTIES INC.","Equity","0.0533","45.35","144,716","$6,562,871","6,562,870.60","Real Estate","2211811","US6374171063","New York Stock Exchange Inc."
"AAPL","APPLE INC","Equity","0.0511","116.02","54,275","$6,296,986","6,296,985.50","Information Technology","2046251","US0378331005","NASDAQ"
"STJ","ST JUDE MEDICAL","Equity","0.0510","81.02","77,560","$6,283,911","6,283,911.20","Health Care","2767381","US7908491035","New York Stock Exchange Inc."
"CMG","CHIPOTLE MEXICAN GRILL INC","Equity","0.0473","381.86","15,266","$5,829,475","5,829,474.76","Consumer Discretionary","B0X7DZ3","US1696561059","New York Stock Exchange Inc."
 
